nb_id,error,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,language,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,speaking_language,has_export,num_functions,has_test,num_headers,has_papermill,has_reqtext
294,nb_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,nb_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,nb_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,,True,False,False,False,0.5075884816777709,1.0,0.04444444444444445,3,0.0,True,python,True,False,0.06818181818181818,True,1,True,0.0,1.0,1.809523809523809,False,English,False,0,False,7,False,False
921,,False,True,False,False,0.9999679560239568,0.0,0.2954545454545455,1,nan,False,python,True,False,0.2790697674418605,True,1,True,1.0,nan,nan,False,Estonian,False,1,False,10,False,False
1122,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,,True,False,False,False,1.0,0.0,0.16129032258064516,1,nan,True,python,True,True,0.3333333333333333,False,2,True,0.9615384615384616,nan,nan,False,English,False,0,False,5,False,False
1447,,True,False,False,False,0.9708511003725512,0.011363636363636364,0.375886524822695,1,0.0,True,python,True,True,0.6214285714285714,True,1,True,0.9886363636363636,nan,nan,False,English,True,15,False,30,False,False
1589,,nan,nan,False,nan,0.7141299071007031,0.5384615384615384,0.0,1,0.14285714285714285,False,python,nan,False,nan,False,1,nan,0.0,1.0,1.0,False,nan,True,2,False,0,False,False
1624,,nan,nan,False,False,0.990928926738888,0.375,0.1111111111111111,2,0.6666666666666666,False,python,False,True,0.125,True,2,False,0.0,1.0,1.0,False,English,True,5,False,1,False,False
1919,,nan,nan,False,nan,0.997840434172238,0.7804878048780488,0.0,1,0.1875,False,python,nan,True,nan,False,1,nan,0.04878048780487805,0.7894736842105263,10.631578947368421,True,nan,True,5,False,0,False,False
2323,,False,False,False,True,nan,0.72,0.375,1,0.4444444444444444,False,python,False,True,0.6410256410256411,True,4,True,0.0,0.9565217391304348,1.2173913043478262,False,English,True,15,False,6,False,False
2705,,True,False,False,False,1.0,0.5,0.4615384615384616,1,0.0,True,python,True,True,0.64,True,1,False,0.0,0.9230769230769232,1.6153846153846154,False,English,False,6,False,7,False,False
2838,nb_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2857,,nan,nan,False,nan,0.1219574789961369,0.4615384615384616,0.0,5,0.0,False,python,nan,True,nan,False,11,nan,0.0,0.9090909090909092,6.1818181818181825,False,nan,True,0,False,0,False,False
2861,,True,False,False,True,1.0,0.21428571428571427,0.4615384615384616,1,0.0,False,python,False,True,0.52,False,1,False,0.0,1.0,6.333333333333332,False,English,False,0,False,1,False,False
2880,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2881,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3165,,False,False,False,False,nan,0.5,0.5294117647058824,1,1.0,False,python,False,True,0.9375,True,1,False,0.0,1.0,1.0,False,Spanish,True,3,False,9,False,False
3166,,False,False,False,False,nan,0.5,0.5294117647058824,1,1.0,False,python,False,True,0.9375,True,2,False,0.0,1.0,1.0,False,Spanish,True,3,False,9,False,False
3318,,False,False,False,False,nan,0.5,0.5294117647058824,1,1.0,False,python,False,True,0.9375,True,1,False,0.0,1.0,1.0,False,Spanish,True,3,False,9,False,False
3319,,False,False,False,False,nan,0.5,0.5294117647058824,1,1.0,False,python,False,True,0.9375,True,2,False,0.0,1.0,1.0,False,Spanish,True,3,False,9,False,False
3417,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4135,,True,False,False,False,nan,0.0,0.1,3,nan,True,python,False,True,0.15789473684210525,False,1,False,0.0,1.0,11.647058823529413,False,English,True,4,False,0,False,False
4157,,False,False,False,False,1.0,0.09090909090909093,0.08333333333333333,0,1.0,True,python,False,True,0.043478260869565216,True,1,False,0.7727272727272727,1.0,1.0,False,Estonian,True,0,False,2,False,False
4237,,True,False,False,False,nan,0.0,0.1,3,nan,True,python,False,True,0.15789473684210525,False,1,False,0.0,1.0,11.647058823529413,False,English,True,4,False,0,False,False
4339,,nan,nan,False,nan,1.0,0.19047619047619047,0.0,1,0.0,False,python,nan,True,nan,False,1,nan,0.0,1.0,1.631578947368421,False,nan,False,1,False,0,False,False
4475,,True,False,False,True,1.0,0.25925925925925924,0.4615384615384616,1,0.0,True,python,True,True,0.21568627450980396,True,1,True,0.0,0.9090909090909092,2.8181818181818183,False,English,False,1,False,9,False,False
4659,,nan,nan,False,nan,0.94006309148265,0.125,0.0,3,0.0,False,python,nan,True,nan,False,3,nan,0.125,1.0,1.0,True,nan,False,3,False,0,False,False
4713,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,,nan,nan,False,False,0.98348357502857,0.0,0.3333333333333333,1,nan,True,python,True,True,0.25,True,1,False,1.0,nan,nan,False,English,False,2,False,3,False,False
4842,,True,False,False,True,1.0,0.25925925925925924,0.4615384615384616,1,0.0,True,python,True,True,0.21568627450980396,True,1,True,0.0,0.9090909090909092,2.8181818181818183,False,English,False,1,False,9,False,False
4903,,nan,nan,False,nan,1.0,0.8,0.0,1,0.0,False,python,nan,True,nan,False,1,nan,0.0,1.0,27.33333333333333,False,nan,False,0,False,0,False,False
5003,,nan,nan,False,False,0.4750118093273788,0.5,0.2,1,0.0,True,python,False,True,0.5,False,2,True,0.0,1.0,1.0,False,French,False,1,False,2,False,False
5461,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5820,,True,False,False,False,0.9993506351980082,0.6666666666666666,0.18181818181818185,1,0.6666666666666666,True,python,False,True,0.3809523809523809,False,2,True,0.0,0.9411764705882352,3.5294117647058822,False,German,False,0,False,3,False,False
6116,,nan,nan,False,False,nan,0.8333333333333334,0.25,1,0.0,True,python,True,True,0.42857142857142855,False,3,False,0.0,0.75,2.75,True,English,False,0,False,0,False,False
6210,,nan,nan,False,nan,0.6209804681657657,0.5454545454545454,0.0,1,0.0,False,python,nan,True,nan,False,1,nan,0.0,0.8888888888888888,3.555555555555556,True,nan,True,29,False,0,False,False
6321,,True,False,True,False,nan,0.1,0.5454545454545454,1,0.0,False,python,True,False,0.9047619047619048,True,1,False,0.0,1.0,2.333333333333333,False,English,False,0,False,1,False,False
