,antecedents,consequents,confidence,antecedent_len,consequent_len
15950,"({'non_exec_prop_low', 'jupyter_prop_high', 'num_commits_lower', 'has_comments_T', 'exec_inorder_higher'})",({'num_contrib_lower'}),0.9838983050847456,5,1
11323,"({'num_commits_lower', 'non_exec_prop_low', 'jupyter_prop_high', 'has_comments_T'})",({'num_contrib_lower'}),0.9837925445705025,4,1
13922,"({'non_exec_prop_low', 'jupyter_prop_high', 'num_commits_lower', 'has_author_F', 'has_comments_T'})",({'num_contrib_lower'}),0.9832915622389307,5,1
14914,"({'exec_skips_lower', 'markdown_prop_med', 'num_commits_lower', 'has_author_F', 'has_comments_T'})",({'exec_inorder_higher'}),0.9824707846410685,5,1
10194,"({'num_commits_lower', 'exec_skips_lower', 'has_author_F', 'has_comments_T'})",({'exec_inorder_higher'}),0.9823321554770318,4,1
5873,"({'exec_skips_lower', 'has_error_F', 'has_comments_T'})",({'exec_inorder_higher'}),0.9822888283378748,3,1
1396,"({'exec_skips_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.9822485207100592,2,1
5802,"({'num_commits_lower', 'exec_skips_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.9822161422708617,3,1
10331,"({'exec_skips_lower', 'has_author_F', 'has_error_F', 'has_comments_T'})",({'exec_inorder_higher'}),0.9822064056939501,4,1
12150,"({'num_commits_lower', 'exec_skips_lower', 'markdown_prop_med', 'has_comments_T'})",({'exec_inorder_higher'}),0.982200647249191,4,1
3688,"({'exec_skips_lower', 'has_author_F', 'has_comments_T'})",({'exec_inorder_higher'}),0.9820987654320986,3,1
15798,"({'exec_skips_lower', 'num_commits_lower', 'has_author_F', 'has_error_F', 'has_comments_T'})",({'exec_inorder_higher'}),0.9820554649265906,5,1
5838,"({'exec_skips_lower', 'non_exec_prop_low', 'has_comments_T'})",({'exec_inorder_higher'}),0.9819569743233867,3,1
10265,"({'non_exec_prop_low', 'exec_skips_lower', 'has_author_F', 'has_comments_T'})",({'exec_inorder_higher'}),0.9819364161849711,4,1
15720,"({'non_exec_prop_low', 'exec_skips_lower', 'num_commits_lower', 'has_author_F', 'has_comments_T'})",({'exec_inorder_higher'}),0.9819227608874281,5,1
12707,"({'num_commits_lower', 'exec_skips_lower', 'has_error_F', 'has_comments_T'})",({'exec_inorder_higher'}),0.9818897637795275,4,1
9351,"({'exec_skips_lower', 'has_author_F', 'markdown_prop_med', 'has_comments_T'})",({'exec_inorder_higher'}),0.9817251461988304,4,1
12666,"({'num_commits_lower', 'exec_skips_lower', 'non_exec_prop_low', 'has_comments_T'})",({'exec_inorder_higher'}),0.9816878980891719,4,1
5327,"({'exec_skips_lower', 'markdown_prop_med', 'has_comments_T'})",({'exec_inorder_higher'}),0.981677237491191,3,1
15227,"({'exec_skips_lower', 'num_contrib_lower', 'num_commits_lower', 'has_author_F', 'has_comments_T'})",({'exec_inorder_higher'}),0.9815770081061165,5,1
5577,"({'exec_skips_lower', 'num_contrib_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.9815756035578146,3,1
8671,"({'exec_skips_lower', 'has_author_F', 'jupyter_prop_high', 'has_comments_T'})",({'exec_inorder_higher'}),0.9815384615384615,4,1
4963,"({'exec_skips_lower', 'jupyter_prop_high', 'has_comments_T'})",({'exec_inorder_higher'}),0.9814814814814815,3,1
